DayN,Mm,MM,MS,SS
489,0.161791666667,0.0,7.766,0.0
490,0.0,0.0,0.0,0.0
491,0.181270833333,0.05,8.701,0.0
492,0.139583333333,0.078,6.7,0.0
493,0.0,0.523,0.0,390.901
494,0.755645833333,0.0,36.271,339.848
495,0.0,0.0,0.0,0.0
496,0.0,1.846,0.0,0.0
497,0.0,0.0,0.0,165.071
498,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0
500,0.42625,1.003,20.46,923.66
501,0.0,0.0,0.0,0.0
502,0.0,0.0,0.0,0.0
503,0.102333333333,0.484,4.912,511.866
504,0.0,0.0,0.0,0.0
505,0.0,0.0,0.0,0.0
506,0.0159791666667,0.0,0.767,250.28
507,0.911875,2.826,43.77,507.67
508,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0
510,0.1264375,2.084,6.069,28.848
511,0.1053125,0.0,5.055,0.0
512,0.0,1.787,0.0,266.243
513,0.0,0.0,0.0,26.177
514,0.5875625,0.429,28.203,994.099
515,0.0,0.0,0.0,0.0
516,0.5788125,0.768,27.783,0.0
517,0.0,0.143,0.0,0.0
518,0.0,0.0,0.0,0.0
519,0.026375,0.731,1.266,0.0
520,0.0499166666667,0.0,2.396,0.0
521,0.0,0.335,0.0,792.314
522,0.0,0.0,0.0,0.0
523,0.1308125,0.0,6.279,479.661
524,0.0,0.639,0.0,0.0
525,0.6113125,0.99,29.343,0.0
526,0.0,0.0,0.0,0.0
527,0.0,0.542,0.0,0.0
528,0.0,0.696,0.0,700.125
529,0.081,0.0,3.888,373.252
530,0.0,0.784,0.0,0.0
531,0.0,0.0,0.0,0.0
532,0.155166666667,0.0,7.448,0.0
533,0.0,0.0,0.0,0.0
534,0.196354166667,1.614,9.425,173.652
535,0.0,1.277,0.0,329.635
536,0.6378125,0.0,30.615,0.0
537,0.0,0.0,0.0,0.0
538,0.0,0.0,0.0,85.542
539,0.2973125,1.664,14.271,109.797
540,0.0,0.0,0.0,0.0
541,0.409416666667,0.0,19.652,31.013
542,0.171625,1.912,8.238,369.477
543,0.0,0.0,0.0,300.595
544,0.249041666667,1.566,11.954,0.0
545,0.0315,0.139,1.512,0.0
546,0.0,0.93,0.0,196.337
547,0.0,0.0,0.0,0.0
548,0.0,0.599,0.0,0.0
549,0.0,2.241,0.0,308.361
550,0.400666666667,0.852,19.232,0.0
551,0.0,0.0,0.0,0.0
552,0.0243958333333,0.209,1.171,348.293
553,0.0,0.0,0.0,0.0
554,0.3249375,0.0,15.597,157.64
555,0.0,0.0,0.0,0.0
556,0.536416666667,0.256,25.748,908.335
557,0.0,1.254,0.0,0.0
558,0.0,0.203,0.0,0.0
559,0.0,0.0,0.0,325.334
560,0.3635625,0.515,17.451,0.0
561,0.0,0.0,0.0,50.715
562,0.0,0.0,0.0,0.0
563,0.0,0.231,0.0,402.136
564,0.0814791666667,1.26,3.911,459.15
565,0.0411458333333,0.0,1.975,0.0
566,0.0,1.288,0.0,0.0
567,0.0443125,0.466,2.127,16.556
568,0.0125208333333,4.431,0.601,30.255
569,0.523145833333,0.0,25.111,0.0
570,0.108416666667,2.171,5.204,814.716
571,0.4709375,0.0,22.605,0.0
572,0.0,3.011,0.0,0.0
573,0.0,0.0,0.0,0.0
574,0.2036875,0.0,9.777,14.692
575,0.0,0.0,0.0,0.0
576,0.10325,0.955,4.956,206.091
577,0.529104166667,0.966,25.397,347.607
578,0.443854166667,0.825,21.305,64.125
579,0.0,0.0,0.0,57.825
580,0.0,0.782,0.0,0.0
581,0.0,0.0,0.0,56.465
582,0.0,0.075,0.0,0.0
583,0.0,0.235,0.0,0.0
584,0.800416666667,0.0,38.42,180.175
585,0.0,0.062,0.0,95.583
586,0.0391458333333,0.0,1.879,0.0
587,0.0,0.0,0.0,0.0
588,0.403854166667,2.942,19.385,0.0
589,0.0990625,0.0,4.755,56.433
590,0.0368958333333,0.308,1.771,0.0
591,0.880083333333,1.651,42.244,410.094
592,0.0,0.0,0.0,0.0
593,0.0,0.446,0.0,435.556
594,0.148854166667,1.535,7.145,0.0
595,0.1023125,0.0,4.911,147.776
596,0.0,0.418,0.0,121.158
597,0.0,0.808,0.0,0.0
598,0.909270833333,0.739,43.645,854.265
599,0.0,0.0,0.0,0.0
600,0.0,0.579,0.0,0.0
601,0.0498541666667,0.0,2.393,3.049
602,0.119020833333,0.258,5.713,0.0
603,0.0,0.0,0.0,0.0
604,0.395979166667,0.0,19.007,156.283
605,0.1190625,1.834,5.715,502.975
606,0.0,0.0,0.0,206.673
607,0.019,0.573,0.912,0.0
608,0.0,0.013,0.0,8.633
609,0.0569166666667,0.0,2.732,0.0
610,0.0,0.0,0.0,30.522
611,0.0104583333333,0.865,0.502,0.0
612,0.36,0.0,17.28,734.691
613,0.110770833333,1.409,5.317,816.569
614,0.0,0.0,0.0,0.0
615,0.0,0.567,0.0,0.0
616,0.0,0.0,0.0,0.0
617,0.22075,0.864,10.596,9.969
618,0.0,0.0,0.0,0.0
619,0.39,0.0,18.72,663.43
620,0.602583333333,1.219,28.924,570.349
621,0.00685416666667,0.0,0.329,0.0
622,0.0,0.31,0.0,117.973
623,0.298958333333,0.029,14.35,0.0
624,0.0,0.854,0.0,39.478
625,0.369229166667,0.0,17.723,0.0
626,1.20920833333,1.092,58.042,1154.667
627,0.0,0.535,0.0,330.236
628,0.0,0.0,0.0,0.0
629,0.0,0.0,0.0,0.0
630,0.0,1.71,0.0,0.0
631,0.0,0.924,0.0,0.0
632,0.0,2.945,0.0,0.0
633,0.486729166667,0.0,23.363,1067.37
634,0.412916666667,0.0,19.82,195.324
635,0.0,0.534,0.0,0.0
636,0.0,0.0,0.0,0.0
637,0.0208541666667,0.0,1.001,0.0
638,0.415375,0.688,19.938,101.412
639,0.0,0.035,0.0,0.0
640,0.176270833333,0.399,8.461,1281.473
641,0.2501875,1.111,12.009,0.0
